id,nom,prenom,civilite,adresse,ville,zipcode,num_tel,email,regime,date_naiss,date_effect,conjointbirthdate,nbrenfants,source,birthdatechild1,birthdatechild2,birthdatechild3,birthdatechild4,birthdatechild5,dcr,soin_medical,hospitalisation,optique,dentaire
19,Fontaine,Sébastien,Mme,38 Rue de la Paix,Nantes,44000,0637917693,sebastienfontaine@laposte.net,Régime agricole,10/02/1964,03/11/2024,,2,web,11/10/2004,22/04/2022,,,,24/09/2024 00:00:00,ELEVE,ELEVE,MOYEN,MOYEN
20,Morin,Christine,M,13 Rue des Fleurs,Boulogne-Billancourt,92100,0617278895,christine_morin@sfr.fr,Hors sécu,25/02/2005,09/07/2023,,0,web,,,,,,25/06/2023 00:00:00,ELEVE,ELEVE,MOYEN,MAXI
21,Guerin,Delphine,Mme,113 Rue de la Paix,Toulon,83000,0734558122,delphine.guerin@free.fr,Régime général,24/03/1949,18/10/2024,,3,web,25/05/2010,09/11/2017,16/09/2000,,,29/08/2024 00:00:00,ELEVE,MOYEN,MOYEN,ELEVE
22,Lambert,Pascal,M,98 Rue Nationale,Rennes,35000,0654668893,pascal_lambert63@yahoo.fr,Régime général,14/08/1969,22/08/2021,25/07/1968,1,web,01/12/2003,,,,,26/05/2021 00:00:00,MAXI,MOYEN,MOYEN,ELEVE
23,Mathieu,Monique,Mme,47 Rue de la Paix,Versailles,78000,0765375564,monique_mathieu@orange.fr,Régime général,24/07/1950,12/07/2019,20/03/1948,3,MH-12M,13/01/2002,22/10/2001,21/02/2019,,,29/04/2019 00:00:00,MAXI,MOYEN,MAXI,ELEVE
24,Blanc,Émilie,M,52 Rue de la Paix,Lyon,69001,0632719374,emilie_blanc@yahoo.fr,Régime général,08/06/1946,26/05/2024,,1,web,02/11/2000,,,,,10/04/2024 00:00:00,MOYEN,MAXI,ELEVE,MOYEN
25,Petit,Patricia,M,184 Rue Victor Hugo,Nîmes,30000,0693149190,patricia_petit@sfr.fr,Régime général,19/05/2001,18/06/2020,,0,MH-12M,,,,,,14/04/2020 00:00:00,ECO,ELEVE,MOYEN,ELEVE
26,Morin,Jacques,M,163 Rue Nationale,Rennes,35000,0662849877,jacques_morin@hotmail.fr,Régime général,27/07/2005,28/04/2023,,0,web,,,,,,26/02/2023 00:00:00,MAXI,ECO,MOYEN,ECO
27,David,Christophe,Mme,72 Rue des Fleurs,Marseille,13001,0780831367,christophedavid61@hotmail.fr,Régime agricole,08/08/1987,03/03/2022,,3,web,01/06/2010,06/06/2007,12/04/2007,,,04/01/2022 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
28,Bernard,Sébastien,Mme,136 Rue République,Marseille,13001,0785574443,sebastien.bernard16@laposte.net,Régime général,13/04/1988,26/09/2024,,1,Celibataire_45_Eric,19/11/2015,,,,,03/07/2024 00:00:00,MAXI,ELEVE,MOYEN,MOYEN
29,Michel,Nicolas,M,93 Rue Victor Hugo,Montreuil,93100,0708240084,nicolasmichel@yahoo.fr,Régime agricole,24/05/1977,10/01/2025,,2,Celibataire_178_Vital,20/09/2001,27/02/2016,,,,03/01/2025 00:00:00,MAXI,ELEVE,MOYEN,MOYEN
30,Martin,Karine,M,39 Rue des Fleurs,Nîmes,30000,0713186999,karine.martin@hotmail.fr,Régime général,16/08/1988,06/08/2024,09/01/1991,3,web,27/02/2009,16/07/2022,21/10/2022,,,03/07/2024 00:00:00,ECO,ELEVE,ECO,MOYEN
31,Henry,Patricia,Mme,41 Rue de la Paix,Le Havre,76600,0779740344,patriciahenry@hotmail.fr,Régime général,20/10/1987,22/01/2024,21/04/1991,2,zra-sept,22/05/2018,08/03/2022,,,,20/01/2024 00:00:00,MOYEN,ELEVE,MOYEN,MOYEN
32,Perrin,Sébastien,Mme,74 Rue Nationale,Nîmes,30000,0674648877,sebastien.perrin56@sfr.fr,Régime général,14/04/1961,09/11/2021,05/11/1963,2,MH-80,03/03/2013,26/03/2020,,,,14/08/2021 00:00:00,MAXI,ELEVE,MOYEN,ELEVE
33,Richard,Marie,Mme,196 Rue République,Montpellier,34000,0627874296,marierichard@hotmail.fr,Régime général,27/11/1943,30/08/2022,,0,MH80,,,,,,13/08/2022 00:00:00,ELEVE,MAXI,ELEVE,MAXI
34,Lambert,Bernard,Mme,10 Rue Nationale,Rennes,35000,0654516808,bernard_lambert67@free.fr,Régime général,04/11/1982,03/04/2020,,2,web,23/07/2010,22/05/2005,,,,09/01/2020 00:00:00,MOYEN,ELEVE,MOYEN,ECO
35,François,David,Mme,179 Rue Nationale,Argenteuil,95100,0609324808,david_françois15@gmail.com,Régime général,09/04/2002,02/04/2023,,0,couple30_54_Vital,,,,,,21/01/2023 00:00:00,MAXI,MAXI,MOYEN,ECO
36,Moreau,Caroline,M,192 Rue Victor Hugo,Grenoble,38000,0646584044,carolinemoreau@sfr.fr,Régime général,10/12/1947,24/05/2024,,3,couple30_54_Eric,27/07/2016,08/08/2009,05/09/2010,,,05/03/2024 00:00:00,MAXI,MAXI,ELEVE,ELEVE
37,Blanc,Didier,M,12 Rue République,Grenoble,38000,0766270289,didier_blanc57@hotmail.fr,Régime général,18/06/1984,03/09/2024,,3,web,11/08/2012,08/12/2018,08/07/2006,,,28/06/2024 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
38,Lopez,Jean,Mme,85 Rue des Fleurs,Nice,06000,0757809134,jean.lopez13@laposte.net,Régime général,05/11/1976,09/03/2020,20/06/1977,0,ORANGE_01_09,,,,,,13/02/2020 00:00:00,MOYEN,ELEVE,MAXI,ELEVE
39,Gauthier,François,Mme,145 Rue Victor Hugo,Lille,59000,0621969379,françois.gauthier@yahoo.fr,Alsace-Moselle,02/01/1945,29/02/2020,12/05/1950,1,web,05/07/2009,,,,,16/02/2020 00:00:00,ELEVE,MAXI,MAXI,MAXI
40,Mathieu,Olivier,Mme,51 Rue Nationale,Paris,75001,0713695944,olivier.mathieu@hotmail.fr,Régime général,10/08/1946,15/11/2021,,3,web,15/02/2016,10/10/2010,23/07/2001,,,06/11/2021 00:00:00,MAXI,MAXI,MAXI,MAXI
41,Clement,Gérard,M,174 Rue Victor Hugo,Argenteuil,95100,0604709521,gerard_clement@orange.fr,Régime général,20/01/1957,17/03/2022,,2,web,20/04/2013,08/06/1997,,,,29/01/2022 00:00:00,MOYEN,ELEVE,ECO,ELEVE
42,Blanc,Laurent,M,30 Rue Nationale,Reims,51100,0623685160,laurent_blanc48@sfr.fr,Régime général,09/09/1969,30/12/2020,,1,web,26/08/2012,,,,,20/12/2020 00:00:00,ECO,ECO,MAXI,MOYEN
43,Perrin,Marc,Mme,84 Rue des Fleurs,Reims,51100,0617461200,marc_perrin31@free.fr,Régime général,08/11/1997,05/03/2022,,0,MH50-Eric,,,,,,09/12/2021 00:00:00,MOYEN,ELEVE,ECO,ECO
44,Martinez,Bruno,M,168 Rue de la Paix,Reims,51100,0796405377,bruno.martinez@hotmail.fr,Régime général,23/12/1965,19/03/2025,,1,web,24/10/2012,,,,,10/01/2025 00:00:00,MAXI,MAXI,ELEVE,ELEVE
45,Dupont,Sophie,Mme,86 Rue Victor Hugo,Bordeaux,33000,0693183933,sophie_dupont77@hotmail.fr,Régime général,28/02/1993,06/03/2023,,2,web,07/11/2022,20/11/2013,,,,13/02/2023 00:00:00,ECO,ECO,MAXI,MAXI
46,Moreau,Christophe,Mme,83 Rue de la Paix,Nice,06000,0640268117,christophe_moreau@hotmail.fr,Régime général,26/05/1967,12/04/2019,05/01/1962,1,web,26/06/2019,,,,,12/01/2019 00:00:00,MOYEN,MOYEN,ELEVE,ELEVE
47,Faure,Didier,M,16 Rue Nationale,Montpellier,34000,0761771159,didier.faure80@gmail.com,Régime général,02/10/1947,15/09/2025,,1,couple30_54_Eric,10/09/2004,,,,,28/08/2025 00:00:00,MAXI,ELEVE,ELEVE,ELEVE
48,Roussel,Bruno,Mme,185 Rue Victor Hugo,Dijon,21000,0773657661,bruno_roussel@free.fr,Régime général,17/08/1989,18/10/2025,,1,DR,04/12/2022,,,,,25/07/2025 00:00:00,ECO,ECO,ECO,ECO
49,Clement,Christine,Mme,172 Rue de la Paix,Grenoble,38000,0756049451,christineclement85@sfr.fr,Alsace-Moselle,27/02/1999,20/11/2021,24/02/1998,1,web,18/03/2019,,,,,10/11/2021 00:00:00,ECO,ELEVE,MOYEN,MOYEN
50,Petit,Christophe,M,197 Rue des Fleurs,Reims,51100,0694024455,christophe.petit@yahoo.fr,Régime général,12/09/1952,23/08/2024,08/10/1953,0,web,,,,,,29/05/2024 00:00:00,ELEVE,MOYEN,ELEVE,ELEVE
51,Moreau,Michel,Mme,95 Rue République,Montreuil,93100,0799102290,michelmoreau85@gmail.com,Régime agricole,03/01/1967,12/06/2025,,1,zra-sept,14/07/2019,,,,,08/05/2025 00:00:00,MOYEN,MOYEN,ELEVE,ECO
52,François,Patrick,Mme,171 Rue République,Le Havre,76600,0636900343,patrick.françois42@hotmail.fr,Hors sécu,25/04/1988,24/12/2023,,2,web,04/07/2012,22/11/2014,,,,03/10/2023 00:00:00,MOYEN,ELEVE,MOYEN,ELEVE
53,Fontaine,Annie,M,20 Rue République,Le Havre,76600,0796641605,annie.fontaine@hotmail.fr,Régime général,13/03/1991,18/07/2020,,3,couple30_54_Eric,18/09/2017,03/06/2010,02/12/2014,,,06/05/2020 00:00:00,MAXI,MOYEN,ECO,ECO
54,Bonnet,Nathalie,Mme,191 Rue République,Toulouse,31000,0652181883,nathalie_bonnet@orange.fr,Régime général,19/07/1991,08/03/2024,,0,MH-50M-Eric,,,,,,28/02/2024 00:00:00,ECO,MOYEN,MAXI,ECO
55,Moreau,Philippe,M,165 Rue des Fleurs,Bordeaux,33000,0752717744,philippemoreau@gmail.com,Régime général,20/03/1990,22/11/2020,06/02/1985,2,web,16/11/2008,25/10/2013,,,,27/08/2020 00:00:00,ELEVE,ELEVE,MAXI,ELEVE
56,François,Jacqueline,Mme,116 Rue des Fleurs,Lyon,69001,0659782071,jacqueline_françois83@laposte.net,Régime général,27/06/1998,20/11/2019,20/02/1993,1,web,19/08/2016,,,,,31/10/2019 00:00:00,ELEVE,MAXI,MAXI,MOYEN
57,Dumont,Martine,M,174 Rue des Fleurs,Toulon,83000,0651518644,martinedumont@hotmail.fr,Régime TNS,17/09/1974,03/02/2021,,1,web,10/06/2009,,,,,07/12/2020 00:00:00,MAXI,MAXI,ELEVE,MAXI
58,Henry,Nathalie,Mme,33 Rue des Fleurs,Versailles,78000,0668505423,nathalie_henry@hotmail.fr,Régime général,10/06/1993,03/11/2020,,2,Celibataire_45_Eric,20/03/2014,18/05/2019,,,,07/09/2020 00:00:00,ELEVE,MAXI,MOYEN,MAXI
59,Robert,Christine,M,10 Rue République,Lille,59000,0696222927,christine.robert@free.fr,Régime général,17/02/1949,06/10/2021,,0,fb-compagne-2023,,,,,,16/07/2021 00:00:00,MOYEN,ELEVE,MAXI,MAXI
60,Vincent,Brigitte,Mme,119 Rue République,Argenteuil,95100,0788623924,brigitte.vincent@laposte.net,Régime général,08/08/1956,13/09/2021,,1,web,27/08/2012,,,,,30/08/2021 00:00:00,MOYEN,ELEVE,MAXI,MAXI
61,Rousseau,Audrey,M,129 Rue République,Toulouse,31000,0661530515,audrey.rousseau61@yahoo.fr,Régime TNS,25/02/1987,05/05/2023,05/09/1985,2,web,08/02/2010,01/06/2009,,,,01/03/2023 00:00:00,ELEVE,ECO,ELEVE,MOYEN
62,Nicolas,Didier,Mme,62 Rue Nationale,Paris,75001,0711798089,didier.nicolas55@laposte.net,Régime général,01/02/1945,12/08/2020,24/09/1948,2,web,14/09/2001,08/05/2017,,,,22/07/2020 00:00:00,MOYEN,MAXI,ELEVE,MOYEN
63,Muller,Martine,Mme,142 Rue de la Paix,Le Havre,76600,0770654051,martine_muller@yahoo.fr,Alsace-Moselle,22/11/1990,27/03/2019,17/02/1990,0,web,,,,,,07/01/2019 00:00:00,MAXI,ELEVE,ECO,ECO
64,Dubois,Laurent,Mme,10 Rue République,Reims,51100,0603054868,laurent_dubois83@orange.fr,Régime général,27/06/1968,12/05/2020,,3,web,15/11/1996,21/08/1998,03/03/2015,,,29/02/2020 00:00:00,MAXI,MAXI,MAXI,MAXI
65,Thomas,Bernard,Mme,87 Rue Victor Hugo,Créteil,94000,0775841616,bernardthomas38@hotmail.fr,Régime général,04/05/1982,26/04/2021,,1,MH50-Eric,24/07/2008,,,,,21/02/2021 00:00:00,ELEVE,MOYEN,MAXI,ECO
66,Morel,Nathalie,M,158 Rue Nationale,Versailles,78000,0701658202,nathaliemorel@laposte.net,Régime général,15/05/1986,19/08/2022,,2,web,23/03/2009,15/06/2008,,,,08/08/2022 00:00:00,ECO,MOYEN,MOYEN,ELEVE
67,David,Michel,M,36 Rue des Fleurs,Argenteuil,95100,0765431027,micheldavid@free.fr,Régime général,12/06/1960,19/08/2019,20/01/1956,2,couple30_54_Eric,15/11/2015,15/06/2008,,,,23/05/2019 00:00:00,ELEVE,MOYEN,MAXI,MOYEN
68,Bertrand,Laetitia,Mme,139 Rue République,Boulogne-Billancourt,92100,0722583132,laetitia.bertrand@hotmail.fr,Régime général,20/04/1974,21/07/2020,04/04/1972,4,MH80,15/02/2016,15/12/2015,28/11/2018,12/11/2010,,27/04/2020 00:00:00,ECO,MAXI,ELEVE,MAXI
69,Guerin,Jacqueline,Mme,19 Rue Victor Hugo,Nice,06000,0717785289,jacqueline.guerin@hotmail.fr,Régime général,03/02/1966,16/04/2023,14/09/1964,0,MH80,,,,,,18/01/2023 00:00:00,ELEVE,ELEVE,MAXI,ELEVE
70,Durand,Delphine,M,33 Rue République,Dijon,21000,0682992299,delphine_durand@hotmail.fr,Régime général,06/05/1996,16/11/2023,17/06/1998,1,Celibataire_45_Eric,09/02/2019,,,,,08/11/2023 00:00:00,ECO,MOYEN,MAXI,MAXI
71,Dubois,Nathalie,M,159 Rue de la Paix,Créteil,94000,0784473647,nathalie.dubois57@laposte.net,Régime général,09/10/1952,25/08/2019,,0,web,,,,,,18/06/2019 00:00:00,MOYEN,ELEVE,ELEVE,ELEVE
72,Michel,Jacqueline,Mme,103 Rue Victor Hugo,Rennes,35000,0788153714,jacqueline_michel7@yahoo.fr,Hors sécu,11/03/1967,28/10/2023,,0,ORANGE_01_09,,,,,,30/08/2023 00:00:00,MAXI,ELEVE,ELEVE,MAXI
73,Nicolas,Karine,Mme,128 Rue de la Paix,Le Havre,76600,0668733950,karine.nicolas@orange.fr,Régime général,27/03/1989,27/05/2022,,2,fb-compagne-2023,25/04/2012,17/08/2017,,,,03/04/2022 00:00:00,MAXI,MAXI,ELEVE,ELEVE
74,Martin,Christian,Mme,146 Rue des Fleurs,Toulouse,31000,0658416878,christian_martin@hotmail.fr,Hors sécu,09/03/1979,12/04/2024,,1,MH-42,12/07/2000,,,,,11/04/2024 00:00:00,ECO,ECO,MOYEN,MAXI
75,Dupont,Philippe,M,122 Rue des Fleurs,Reims,51100,0729825952,philippe_dupont@sfr.fr,Régime général,18/06/1952,11/05/2020,,3,web,07/03/1996,13/09/2001,02/01/2004,,,01/05/2020 00:00:00,ELEVE,MAXI,MAXI,MAXI
76,Faure,Jacques,Mme,153 Rue Nationale,Angers,49000,0799309728,jacquesfaure@laposte.net,Régime général,19/12/1973,28/05/2022,11/06/1978,2,web,14/02/2001,26/05/2004,,,,10/05/2022 00:00:00,ECO,MAXI,MAXI,MAXI
77,Clement,Marc,M,189 Rue de la Paix,Montpellier,34000,0683857865,marc.clement@free.fr,Régime général,23/10/2003,21/06/2023,11/08/2005,2,MH50-Eric,14/03/2023,17/07/2023,,,,07/04/2023 00:00:00,MAXI,MAXI,MOYEN,MOYEN
78,Lopez,Céline,Mme,72 Rue des Fleurs,Versailles,78000,0734437575,celinelopez@hotmail.fr,Hors sécu,09/12/1963,10/11/2022,,0,web,,,,,,03/11/2022 00:00:00,MOYEN,MAXI,ELEVE,ELEVE
79,Clement,Gérard,M,89 Rue Nationale,Angers,49000,0773384842,gerard.clement@sfr.fr,Régime général,27/07/1980,26/03/2022,02/05/1983,0,web,,,,,,24/03/2022 00:00:00,ELEVE,ELEVE,MAXI,ELEVE
80,Mathieu,Sophie,M,141 Rue Victor Hugo,Dijon,21000,0777345401,sophiemathieu95@sfr.fr,Régime agricole,08/11/1989,22/09/2021,23/06/1988,1,web,22/02/2014,,,,,07/09/2021 00:00:00,MOYEN,ECO,ELEVE,ELEVE
81,Laurent,Pascal,M,135 Rue Nationale,Lyon,69001,0687431527,pascallaurent@orange.fr,Régime général,26/07/1948,25/08/2019,01/01/1949,2,web,20/10/2010,10/06/2016,,,,02/06/2019 00:00:00,ECO,ELEVE,ELEVE,ELEVE
82,Vincent,Sébastien,Mme,110 Rue des Fleurs,Nîmes,30000,0716122753,sebastien.vincent@orange.fr,Régime agricole,06/04/1958,04/05/2019,,0,web,,,,,,27/02/2019 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
83,Fournier,Monique,Mme,181 Rue République,Nîmes,30000,0645933272,monique_fournier@laposte.net,Hors sécu,01/10/1960,23/03/2024,08/12/1960,2,web,04/11/2023,06/05/2010,,,,04/01/2024 00:00:00,MAXI,ELEVE,MOYEN,ELEVE
84,Guerin,Thomas,Mme,20 Rue des Fleurs,Grenoble,38000,0608839822,thomas_guerin@hotmail.fr,Régime général,26/09/1957,11/05/2023,,3,web,22/04/2017,28/10/1999,17/02/1998,,,11/03/2023 00:00:00,ELEVE,MOYEN,MOYEN,MOYEN
85,Henry,Audrey,M,107 Rue Nationale,Grenoble,38000,0687406403,audreyhenry45@gmail.com,Régime général,15/09/1997,10/07/2020,,0,web,,,,,,21/04/2020 00:00:00,ELEVE,MOYEN,MOYEN,MAXI
86,Legrand,Michel,M,168 Rue République,Lyon,69001,0628682300,michel_legrand@free.fr,Régime général,06/07/1983,23/09/2019,,2,web,13/06/2006,13/07/2005,,,,19/09/2019 00:00:00,MOYEN,ECO,MOYEN,MOYEN
87,Mercier,Christian,Mme,158 Rue de la Paix,Montpellier,34000,0631190790,christian.mercier57@laposte.net,Régime général,12/08/1992,21/02/2025,25/12/1994,0,web,,,,,,08/02/2025 00:00:00,MOYEN,MOYEN,MOYEN,ELEVE
88,Thomas,Vincent,M,61 Rue République,Nice,06000,0683644089,vincentthomas@yahoo.fr,Régime général,08/05/1971,12/10/2021,,1,ERIC,11/10/1998,,,,,17/08/2021 00:00:00,ELEVE,ECO,MAXI,MAXI
89,André,Sophie,Mme,39 Rue République,Créteil,94000,0728733427,sophie.andre@sfr.fr,Régime général,26/07/1963,22/12/2023,,0,ERIC,,,,,,16/10/2023 00:00:00,MAXI,MOYEN,MOYEN,ELEVE
90,David,Bruno,M,97 Rue des Fleurs,Bordeaux,33000,0613983735,bruno_david25@gmail.com,Régime général,21/06/1992,11/09/2023,03/06/1990,1,web,27/12/2015,,,,,03/09/2023 00:00:00,MOYEN,ELEVE,ECO,MOYEN
91,Gauthier,Martine,Mme,79 Rue République,Villeurbanne,69100,0787717535,martine_gauthier29@free.fr,Régime agricole,13/04/1957,24/06/2020,,2,web,25/06/2003,15/07/2011,,,,25/04/2020 00:00:00,ELEVE,MOYEN,ELEVE,ELEVE
92,Guerin,Olivier,M,128 Rue des Fleurs,Nîmes,30000,0747772522,olivierguerin@sfr.fr,Régime général,14/12/1965,05/10/2020,08/06/1967,0,web,,,,,,20/08/2020 00:00:00,ECO,MOYEN,MOYEN,MOYEN
93,Dubois,Valérie,M,18 Rue Victor Hugo,Marseille,13001,0638750997,valeriedubois69@free.fr,Régime agricole,02/11/1947,14/03/2025,,0,web,,,,,,29/01/2025 00:00:00,MAXI,MAXI,ELEVE,MOYEN
94,Bernard,Jean,Mme,46 Rue de la Paix,Dijon,21000,0682339845,jean_bernard@hotmail.fr,Régime général,18/05/1961,18/05/2025,,1,MH-32MC,27/09/2025,,,,,09/03/2025 00:00:00,ELEVE,MOYEN,MOYEN,ELEVE
95,Muller,Jacqueline,Mme,24 Rue Nationale,Montpellier,34000,0768700217,jacqueline_muller@laposte.net,Régime général,10/04/1961,28/03/2023,,1,web,28/11/2021,,,,,09/03/2023 00:00:00,MAXI,ELEVE,MOYEN,MOYEN
96,Dubois,Valérie,M,176 Rue République,Montpellier,34000,0625039261,valerie_dubois@yahoo.fr,Régime général,19/12/1994,08/05/2025,,0,web,,,,,,06/05/2025 00:00:00,MOYEN,MOYEN,MOYEN,MAXI
97,Blanc,Céline,Mme,129 Rue République,Rennes,35000,0616315999,celine_blanc@hotmail.fr,Régime général,05/12/1983,04/06/2025,,0,web,,,,,,10/05/2025 00:00:00,MAXI,ECO,MOYEN,MAXI
98,Garcia,Annie,Mme,40 Rue Nationale,Reims,51100,0665511047,annie_garcia17@hotmail.fr,Régime TNS,14/07/1969,01/02/2022,13/11/1965,2,web,10/10/2020,23/04/1997,,,,24/01/2022 00:00:00,MOYEN,ELEVE,MAXI,ELEVE
99,François,Chantal,M,4 Rue République,Angers,49000,0761839826,chantal.françois35@yahoo.fr,Régime général,14/09/1966,26/02/2020,18/06/1970,1,MH50-Eric,20/10/2017,,,,,24/12/2019 00:00:00,MOYEN,MOYEN,ELEVE,ELEVE
100,Simon,Michel,M,118 Rue de la Paix,Le Havre,76600,0640659657,michel_simon@free.fr,Régime général,10/07/1989,21/08/2024,09/06/1993,1,web,21/12/2021,,,,,12/07/2024 00:00:00,MOYEN,ELEVE,MOYEN,ELEVE
101,Morel,Patricia,M,63 Rue République,Villeurbanne,69100,0746519398,patricia.morel@laposte.net,Régime général,07/12/1947,27/11/2025,11/07/1950,1,web,23/12/2016,,,,,31/08/2025 00:00:00,MOYEN,MOYEN,MAXI,ELEVE
102,Michel,Audrey,Mme,169 Rue Victor Hugo,Toulon,83000,0761797968,audreymichel@hotmail.fr,Régime général,27/05/1950,07/06/2019,,2,MH-12M,22/07/1994,21/03/2004,,,,21/04/2019 00:00:00,MAXI,ELEVE,ELEVE,ELEVE
103,Lefevre,Sébastien,M,169 Rue République,Boulogne-Billancourt,92100,0690965610,sebastien.lefevre96@orange.fr,Régime agricole,20/09/1950,11/02/2025,,0,MH1,,,,,,04/02/2025 00:00:00,MAXI,MOYEN,MAXI,MAXI
104,Lefevre,Didier,M,124 Rue de la Paix,Saint-Étienne,42000,0761125457,didier.lefevre@sfr.fr,Régime général,19/11/1977,25/10/2024,,0,MH-32MC,,,,,,25/10/2024 00:00:00,ELEVE,MAXI,MOYEN,MAXI
105,Lopez,Didier,M,190 Rue Victor Hugo,Boulogne-Billancourt,92100,0682586736,didierlopez85@yahoo.fr,Régime général,03/06/1978,09/06/2024,28/01/1982,1,web,04/11/2014,,,,,04/05/2024 00:00:00,MAXI,ELEVE,ELEVE,MOYEN
106,Fontaine,Marie,Mme,148 Rue de la Paix,Villeurbanne,69100,0655371478,mariefontaine@orange.fr,Régime général,15/04/1949,29/11/2023,,2,MH2,23/01/2011,09/04/2017,,,,06/11/2023 00:00:00,ELEVE,ELEVE,ELEVE,ELEVE
