id,last_name,first_name,title,address,city,zip_code,phone_number,email,social_security_regime,birth_date,effective_date,spouse_birth_date,num_children,source,child1_birth_date,child2_birth_date,child3_birth_date,child4_birth_date,child5_birth_date,submission_date,medical_care,hospitalization,optical,dental,age_at_submission,current_age,spouse_age_at_submission,spouse_current_age,child1_age_at_submission,child1_current_age,child2_age_at_submission,child2_current_age,child3_age_at_submission,child3_current_age,child4_age_at_submission,child4_current_age,child5_age_at_submission,child5_current_age,spouse_age_diff,child_age_diff,days_to_effective,social_security_regime_encoded,regime_score,source_score,zip_score,coverage_score,children_score,age_score,email_quality,phone_quality,contact_quality_score,priority_score,days_since_submission,freshness_multiplier,adjusted_score
13439,Dubois,Alain,M,81 Rue Victor Hugo,Dijon,21000,0706604123,alain.dubois@sfr.fr,Régime général,1991-12-13,2024-05-30,,0,MH-30M,2017-08-16,,,,,,2,2,3,2,-999,33,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,9,0,0.0,0.5,1.0,1.5,13.0,,,
593,Dumont,Alain,Mme,163 Rue des Fleurs,Toulon,83000,0667046861,alain.dumont86@gmail.com,Régime général,1956-12-04,2025-07-29,1959-03-24,0,web,2006-10-01,2011-08-12,2000-12-14,,,,3,4,4,2,-999,69,-999,66,-999,19,-999,14,-999,24,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
12314,Dumont,Alain,M,94 Rue Nationale,Strasbourg,67000,0722117588,alain.dumont@hotmail.fr,Régime TNS,1969-01-18,2019-03-30,1966-10-20,0,MH-30M,2000-06-19,2005-10-26,1999-03-09,,,,2,4,2,2,-999,56,-999,59,-999,25,-999,20,-999,26,-999,-999,-999,-999,,0,0,3,1.0,1,0,10,0,0.0,0.5,1.0,1.5,14.5,,,
3463,Dumont,Alain,M,127 Rue de la Paix,Argenteuil,95100,0653957303,alain.dumont@orange.fr,Hors sécu,1989-07-04,2019-11-18,1991-05-21,0,MH50-Eric,2014-07-10,,,,,,2,4,3,2,-999,36,-999,34,-999,11,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,5,0.8,1,1,11,0,0.0,0.5,1.0,1.5,15.3,,,
14408,Dupont,Alain,Mme,60 Rue République,Argenteuil,95100,0682647612,alain.dupont94@free.fr,Régime général,1965-05-18,2021-12-21,1966-08-13,0,zra-sept,,,,,,,2,4,3,4,-999,60,-999,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,1,12,0,0.0,0.5,1.0,1.5,16.0,,,
7023,Dupont,Alain,Mme,187 Rue République,Argenteuil,95100,0682475198,alain.dupont@free.fr,Régime agricole,1974-03-27,2024-12-05,1976-02-06,0,zra-sept,2006-06-02,,,,,,4,4,2,1,-999,51,-999,49,-999,19,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,4,0.5,1,1,11,0,0.0,0.5,1.0,1.5,15.0,,,
1215,Dupont,Alain,Mme,144 Rue Nationale,Lyon,69001,0784817036,alain.dupont@gmail.com,Régime général,1978-05-01,2021-01-01,1976-05-17,0,web,,,,,,2020-09-11,2,2,4,2,42,47,44,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0,112,1,0.5,0,0,10,0,0.5,0.5,1.0,1.5,13.5,1905.0,0.2,2.7
14500,Dupont,Alain,Mme,50 Rue Victor Hugo,Montreuil,93100,0739302718,alain.dupont@yahoo.fr,Régime général,1999-04-07,2022-08-18,,0,web,,,,,,,3,4,2,2,-999,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,1,11,0,0.0,0.5,1.0,1.5,14.0,,,
10131,Durand,Alain,M,30 Rue des Fleurs,Versailles,78000,0626504014,alain.durand@gmail.com,Régime TNS,1975-05-13,2022-01-01,,0,web,2005-03-17,,,,,,4,3,3,4,-999,50,-999,-999,-999,20,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,3,1.0,0,0,12,0,0.0,0.5,1.0,1.5,15.5,,,
3345,Durand,Alain,Mme,72 Rue de la Paix,Le Havre,76600,0698603779,alain.durand@hotmail.fr,Régime général,1986-01-21,2021-02-06,1988-08-08,0,web,2015-01-24,,,,,,2,4,4,3,-999,39,-999,37,-999,10,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
6252,Faure,Alain,M,57 Rue des Fleurs,Saint-Denis,93200,0603084732,alain.faure@free.fr,Hors sécu,1946-02-11,2021-01-05,1950-04-27,0,MH50-Eric,,,,,,,3,2,2,4,-999,79,-999,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,5,0.8,1,1,11,0,0.0,0.5,1.0,1.5,15.3,,,
1784,Faure,Alain,Mme,127 Rue Nationale,Créteil,94000,0628792746,alain.faure@yahoo.fr,Régime général,1999-11-26,2020-06-02,,0,web,2020-10-23,,,,,,3,2,2,1,-999,26,-999,-999,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,1,8,0,0.0,0.5,1.0,1.5,11.0,,,
12648,Fontaine,Alain,M,61 Rue de la Paix,Dijon,21000,0682872033,alain.fontaine@free.fr,Régime général,1955-04-05,2022-04-21,1952-07-14,1,web,2001-11-16,,,,,2022-04-02,3,3,4,4,67,70,69,73,20,24,-999,-999,-999,-999,-999,-999,-999,-999,2.0,47,19,1,0.5,0,0,12,1,1.5,0.5,1.0,1.5,18.5,1337.0,0.2,3.7
9391,Fontaine,Alain,M,25 Rue de la Paix,Argenteuil,95100,0629511680,alain.fontaine@free.fr,Régime général,1992-07-06,2024-05-28,,0,web,2023-08-21,,,,,,2,3,2,3,-999,33,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,1,10,0,0.0,0.5,1.0,1.5,13.0,,,
5857,Fontaine,Alain,Mme,73 Rue Victor Hugo,Saint-Étienne,42000,0756424763,alain.fontaine@hotmail.fr,Régime général,1960-04-27,2024-07-15,,0,ORANGE_01_09,1999-06-08,2022-10-02,2005-06-13,,,,3,1,4,2,-999,65,-999,-999,-999,26,-999,3,-999,20,-999,-999,-999,-999,,0,0,1,0.5,1,0,10,0,0.0,0.5,1.0,1.5,14.0,,,
4522,Fournier,Alain,Mme,181 Rue Nationale,Saint-Denis,93200,0689300714,alain.fournier@orange.fr,Régime général,1958-05-09,2023-11-15,,2,MH-12M,2005-03-26,2017-01-04,,,,2023-10-10,4,2,3,4,65,67,-999,-999,18,20,6,8,-999,-999,-999,-999,-999,-999,,47,36,1,0.5,1,1,12,2,1.0,0.5,1.0,1.5,19.0,781.0,0.2,3.8
6941,Fournier,Alain,M,156 Rue Nationale,Lyon,69001,0797847110,alain.fournier@orange.fr,Régime général,1953-02-23,2024-12-22,,0,web,,,,,,,3,3,4,4,-999,72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
15312,François,Alain,Mme,130 Rue Victor Hugo,Grenoble,38000,0798334635,alain.françois36@free.fr,Régime général,1991-12-18,2025-02-17,1987-02-03,0,DR,,,,,,,2,3,2,4,-999,33,-999,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,11,0,0.0,0.5,1.0,1.5,15.0,,,
2634,Garcia,Alain,M,109 Rue Nationale,Toulon,83000,0658085690,alain.garcia@laposte.net,Régime général,1964-01-09,2019-08-26,,2,MH50-Eric,2005-05-26,2015-02-05,,,,2019-06-08,3,1,2,3,55,61,-999,-999,14,20,4,10,-999,-999,-999,-999,-999,-999,,41,79,1,0.5,1,0,9,2,1.0,0.5,1.0,1.5,16.0,2366.0,0.2,3.2
2463,Garcia,Alain,Mme,70 Rue Victor Hugo,Toulon,83000,0706300798,alain.garcia@yahoo.fr,Régime général,1958-07-19,2022-03-27,,0,web,2008-10-04,2000-07-05,,,,,3,4,4,2,-999,67,-999,-999,-999,17,-999,25,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
6514,Gauthier,Alain,M,156 Rue République,Nantes,44000,0716201970,alain.gauthier@gmail.com,Régime général,1985-02-12,2020-05-05,,0,web,2019-05-19,2019-07-27,,,,,2,3,3,3,-999,40,-999,-999,-999,6,-999,6,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,11,0,0.0,0.5,1.0,1.5,14.0,,,
878,Girard,Alain,Mme,138 Rue de la Paix,Versailles,78000,0764051102,alain.girard@yahoo.fr,Régime général,1966-05-17,2021-08-27,,0,web,2005-03-24,2019-09-17,,,,,2,4,4,2,-999,59,-999,-999,-999,20,-999,6,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
274,Guerin,Alain,Mme,169 Rue de la Paix,Le Havre,76600,0626691215,alain.guerin52@orange.fr,Régime CFE,1986-07-07,2022-09-20,,3,web,2007-11-12,2017-01-22,2007-11-04,,,2022-01-07,2,3,4,3,35,39,-999,-999,14,18,4,8,14,18,-999,-999,-999,-999,,21,256,6,0.5,0,0,12,2,0.0,0.5,1.0,1.5,16.0,1422.0,0.2,3.2
8340,Henry,Alain,M,186 Rue de la Paix,Saint-Denis,93200,0713994236,alain.henry@gmail.com,Régime général,2002-08-25,2022-12-18,,0,web,,,,,,,3,2,3,2,-999,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,1,10,0,0.0,0.5,1.0,1.5,13.0,,,
9206,Henry,Alain,Mme,126 Rue Nationale,Versailles,78000,0716576995,alain.henry@hotmail.fr,Régime général,1987-07-04,2019-07-19,1982-09-12,0,web,2009-12-24,,,,,,2,3,1,4,-999,38,-999,43,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,10,0,0.0,0.5,1.0,1.5,13.0,,,
3287,Lambert,Alain,M,117 Rue République,Dijon,21000,0752355897,alain.lambert@sfr.fr,Régime général,1995-10-10,2019-11-14,,0,MH-32MC,,,,,,,1,2,4,2,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,9,0,0.0,0.5,1.0,1.5,13.0,,,
11129,Lambert,Alain,Mme,77 Rue de la Paix,Toulouse,31000,0772809428,alain.lambert@yahoo.fr,Régime agricole,1951-07-15,2024-10-01,1952-04-24,0,web,,,,,,,3,1,3,4,-999,74,-999,73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,4,0.5,0,0,11,0,0.0,0.5,1.0,1.5,14.0,,,
12890,Laurent,Alain,M,81 Rue des Fleurs,Argenteuil,95100,0775891360,alain.laurent@laposte.net,Régime général,1950-01-11,2023-11-15,,0,web,,,,,,,4,4,2,2,-999,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,1,12,0,0.0,0.5,1.0,1.5,15.0,,,
2749,Lefebvre,Alain,Mme,110 Rue République,Argenteuil,95100,0704855023,alain.lefebvre@yahoo.fr,Régime général,1998-02-22,2019-05-23,,0,fb-compagne-2023,,,,,,2019-02-03,4,3,1,3,20,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,109,1,0.5,1,1,11,0,0.0,0.5,1.0,1.5,14.0,2491.0,0.2,2.8
14056,Lefebvre,Alain,Mme,19 Rue des Fleurs,Créteil,94000,0770705350,alain.lefebvre@yahoo.fr,Alsace-Moselle,1996-09-12,2020-08-24,,0,web,,,,,,2020-03-07,3,4,1,3,23,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,170,2,0.0,0,1,11,0,0.0,0.5,1.0,1.5,12.5,2093.0,0.2,2.5
844,Lefevre,Alain,M,197 Rue République,Marseille,13001,0626011939,alain.lefevre69@gmail.com,Régime général,1965-11-11,2023-10-15,,0,web,2006-01-25,,,,,,2,3,3,4,-999,60,-999,-999,-999,19,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
4008,Lefevre,Alain,M,188 Rue des Fleurs,Nice,06000,0697657941,alain.lefevre@hotmail.fr,Régime général,1978-03-27,2022-01-30,1974-12-17,2,web,2020-01-18,2011-01-28,,,,2022-11-01,2,3,3,2,44,47,47,50,2,5,11,14,-999,-999,-999,-999,-999,-999,3.0,33,0,1,0.5,0,0,10,2,0.5,0.5,1.0,1.5,16.5,1124.0,0.2,3.3
4767,Legrand,Alain,M,95 Rue Victor Hugo,Créteil,94000,0638443896,alain.legrand69@laposte.net,Hors sécu,1998-05-10,2023-04-25,1995-10-11,0,MH-12M,2017-06-20,,,,,,1,1,3,3,-999,27,-999,30,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,5,0.8,1,1,8,0,0.0,0.5,1.0,1.5,12.3,,,
3792,Legrand,Alain,M,79 Rue République,Strasbourg,67000,0731241759,alain.legrand@hotmail.fr,Régime général,1978-02-16,2021-08-14,,0,web,2004-05-09,2001-09-19,2002-09-26,,,,3,3,4,2,-999,47,-999,-999,-999,21,-999,24,-999,23,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
6388,Martinez,Alain,Mme,44 Rue Victor Hugo,Toulouse,31000,0674194278,alain.martinez@gmail.com,Régime général,1994-03-12,2025-01-30,1996-02-04,0,web,2022-11-25,,,,,,1,1,3,4,-999,31,-999,29,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,9,0,0.0,0.5,1.0,1.5,12.0,,,
918,Martinez,Alain,Mme,167 Rue République,Dijon,21000,0746726368,alain.martinez@orange.fr,Régime CFE,1941-09-09,2020-04-01,1940-01-13,0,web,1997-07-03,,,,,,2,2,3,2,-999,84,-999,85,-999,28,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,6,0.5,0,0,9,0,0.0,0.5,1.0,1.5,12.0,,,
8029,Mathieu,Alain,Mme,8 Rue Nationale,Lille,59000,0743594125,alain.mathieu@laposte.net,Régime général,1964-06-22,2024-05-07,1965-06-08,0,web,,,,,,2024-12-02,4,4,4,2,60,61,59,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,0,0,1,0.5,0,0,12,0,1.0,0.5,1.0,1.5,17.0,362.0,0.2,3.4
8203,Mathieu,Alain,Mme,134 Rue République,Angers,49000,0751643004,alain.mathieu@sfr.fr,Régime général,1983-03-26,2023-10-15,1979-02-09,0,MH-50M-Eric,2010-02-13,,,,,,3,3,1,2,-999,42,-999,46,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,9,0,0.0,0.5,1.0,1.5,13.0,,,
9813,Mathieu,Alain,Mme,105 Rue de la Paix,Reims,51100,0732178448,alain.mathieu@sfr.fr,Régime TNS,2002-07-04,2023-05-26,2005-06-25,0,web,,,,,,,3,4,4,4,-999,23,-999,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,3,1.0,0,0,12,0,0.0,0.5,1.0,1.5,15.5,,,
5840,Mathieu,Alain,Mme,93 Rue Victor Hugo,Créteil,94000,0622523035,alain.mathieu@yahoo.fr,Régime agricole,1978-11-15,2022-04-06,,0,web,,,,,,,2,3,3,1,-999,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,4,0.5,0,1,9,0,0.0,0.5,1.0,1.5,12.0,,,
9026,Mercier,Alain,Mme,37 Rue Nationale,Argenteuil,95100,0704973410,alain.mercier36@sfr.fr,Régime général,1985-01-20,2025-08-23,1984-07-07,0,couple30_54_Vital,,,,,,2025-04-07,3,2,2,2,40,40,40,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0,138,1,0.5,1,1,9,0,0.5,0.5,1.0,1.5,13.5,236.0,0.2,2.7
1957,Mercier,Alain,Mme,155 Rue République,Argenteuil,95100,0763183429,alain.mercier76@gmail.com,Régime général,1962-11-02,2021-09-20,,2,web,2020-09-11,2007-06-08,,,,2021-08-07,2,4,3,2,58,63,-999,-999,0,5,14,18,-999,-999,-999,-999,-999,-999,,44,44,1,0.5,0,1,11,2,1.0,0.5,1.0,1.5,17.0,1575.0,0.2,3.4
4760,Mercier,Alain,Mme,15 Rue République,Le Havre,76600,0630510001,alain.mercier@laposte.net,Régime général,1958-05-12,2024-12-21,,1,web,2009-08-13,,,,,2024-07-11,3,2,3,4,66,67,-999,-999,14,16,-999,-999,-999,-999,-999,-999,-999,-999,,52,163,1,0.5,0,0,12,1,1.5,0.5,1.0,1.5,16.5,506.0,0.2,3.3
6534,Moreau,Alain,M,145 Rue des Fleurs,Argenteuil,95100,0781845567,alain.moreau@sfr.fr,Régime général,1988-01-01,2020-04-02,,0,web,2012-02-28,,,,,,4,1,1,2,-999,37,-999,-999,-999,13,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,1,8,0,0.0,0.5,1.0,1.5,11.0,,,
9133,Moreau,Alain,Mme,131 Rue Victor Hugo,Paris,75001,0749919316,alain.moreau@yahoo.fr,Régime TNS,1982-01-26,2024-11-12,1978-10-12,0,web,,,,,,2024-07-11,2,3,3,3,42,43,45,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.0,0,124,3,1.0,0,1,11,0,0.5,0.5,1.0,1.5,15.0,506.0,0.2,3.0
10230,Morel,Alain,Mme,55 Rue Victor Hugo,Bordeaux,33000,0629935195,alain.morel75@hotmail.fr,Régime CFE,1969-11-27,2019-02-19,,0,web,,,,,,,1,3,4,3,-999,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,6,0.5,0,0,11,0,0.0,0.5,1.0,1.5,14.0,,,
15258,Morel,Alain,Mme,149 Rue République,Lyon,69001,0780746286,alain.morel@laposte.net,Régime général,1978-11-01,2021-09-05,,3,web,2019-09-12,2006-05-22,2016-04-05,,,2021-12-08,2,3,4,3,43,47,-999,-999,2,6,15,19,5,9,-999,-999,-999,-999,,28,0,1,0.5,0,0,12,2,0.5,0.5,1.0,1.5,17.5,1452.0,0.2,3.5
11308,Morel,Alain,M,23 Rue des Fleurs,Versailles,78000,0635959147,alain.morel@sfr.fr,Régime général,1988-04-19,2023-09-20,,2,web,2015-05-13,2015-05-28,,,,2023-02-07,2,4,2,4,34,37,-999,-999,7,10,7,10,-999,-999,-999,-999,-999,-999,,27,225,1,0.5,0,0,12,2,0.0,0.5,1.0,1.5,16.0,1026.0,0.2,3.2
1399,Morel,Alain,M,129 Rue Nationale,Angers,49000,0763279042,alain.morel@yahoo.fr,Régime général,1982-01-18,2020-05-16,1983-04-06,0,web,,,,,,,1,2,3,1,-999,43,-999,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,7,0,0.0,0.5,1.0,1.5,10.0,,,
15587,Morin,Alain,Mme,72 Rue des Fleurs,Lyon,69001,0790852690,alain.morin@hotmail.fr,Régime général,1946-02-07,2021-11-20,,0,web,2002-02-06,2002-08-28,,,,,3,3,4,4,-999,79,-999,-999,-999,23,-999,23,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
15802,Morin,Alain,M,140 Rue Nationale,Le Havre,76600,0766619487,alain.morin@hotmail.fr,Régime TNS,1987-05-08,2019-05-03,1986-09-07,0,web,,,,,,,2,4,4,2,-999,38,-999,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,3,1.0,0,0,12,0,0.0,0.5,1.0,1.5,15.5,,,
8690,Muller,Alain,Mme,197 Rue Nationale,Reims,51100,0765721231,alain.muller@free.fr,Régime général,1972-01-01,2020-10-06,,0,web,2012-02-04,2011-12-05,2014-05-08,2004-11-20,,,3,4,3,2,-999,53,-999,-999,-999,13,-999,13,-999,11,-999,21,-999,-999,,0,0,1,0.5,0,0,12,0,0.0,0.5,1.0,1.5,15.0,,,
9442,Muller,Alain,Mme,174 Rue de la Paix,Strasbourg,67000,0784342873,alain.muller@laposte.net,Régime général,1951-12-21,2025-01-24,,0,MH1,2012-05-22,,,,,,3,2,4,2,-999,73,-999,-999,-999,13,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,11,0,0.0,0.5,1.0,1.5,15.0,,,
14072,Muller,Alain,Mme,59 Rue des Fleurs,Montreuil,93100,0691435503,alain.muller@yahoo.fr,Alsace-Moselle,2003-09-19,2024-12-31,2002-12-21,0,web,,,,,,2024-07-12,2,2,4,3,20,22,21,22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,0,172,2,0.0,0,1,11,0,0.0,0.5,1.0,1.5,13.5,505.0,0.2,2.7
8436,Petit,Alain,M,130 Rue Victor Hugo,Strasbourg,67000,0656359649,alain.petit@orange.fr,Régime TNS,1999-02-23,2022-07-06,,0,web,,,,,,2022-06-06,1,2,2,4,23,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,30,3,1.0,0,0,9,0,0.0,0.5,1.0,1.5,12.5,1272.0,0.2,2.5
11263,Richard,Alain,Mme,68 Rue Nationale,Toulouse,31000,0666957979,alain.richard44@orange.fr,Régime général,1968-05-19,2022-04-25,1972-03-15,0,MH1,2016-10-27,1997-09-17,,,,,3,2,3,3,-999,57,-999,53,-999,9,-999,28,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,11,0,0.0,0.5,1.0,1.5,15.0,,,
